0.418,0.832
0.832,1.627
1.236,2.351
1.627,2.973
2.000,3.464
2.351,3.804
2.677,3.978
2.973,3.978
3.236,3.804
3.464,3.464
3.654,2.973
3.804,2.351
3.913,1.627
3.978,0.832
4.000,-0.000
3.978,-0.832
3.913,-1.627
3.804,-2.351
3.654,-2.973
3.464,-3.464
3.236,-3.804
2.973,-3.978
2.677,-3.978
2.351,-3.804
2.000,-3.464
1.627,-2.973
1.236,-2.351
0.832,-1.627
0.418,-0.832
-0.000,0.000
-0.418,0.832
-0.832,1.627
-1.236,2.351
-1.627,2.973
-2.000,3.464
-2.351,3.804
-2.677,3.978
-2.973,3.978
-3.236,3.804
-3.464,3.464
-3.654,2.973
-3.804,2.351
-3.913,1.627
-3.978,0.832
-4.000,-0.000
-3.978,-0.832
-3.913,-1.627
-3.804,-2.351
-3.654,-2.973
-3.464,-3.464
-3.236,-3.804
-2.973,-3.978
-2.677,-3.978
-2.351,-3.804
-2.000,-3.464
-1.627,-2.973
-1.236,-2.351
-0.832,-1.627
-0.418,-0.832
0.000,0.000
