0.000, 0.000
-0.399, -0.795
-0.795, -1.558
-1.182, -2.259
-1.558, -2.869
-1.918, -3.366
-2.259, -3.728
-2.577, -3.942
-2.869, -3.998
-3.133, -3.895
-3.366, -3.637
-3.565, -3.234
-3.728, -2.702
-3.854, -2.062
-3.942, -1.340
-3.990, -0.564
-3.998, 0.233
-3.967, 1.022
-3.895, 1.770
-3.785, 2.447
-3.637, 3.027
-3.453, 3.486
-3.234, 3.806
-2.983, 3.975
-2.702, 3.985
-2.394, 3.836
-2.062, 3.534
-1.710, 3.091
-1.340, 2.525
-0.957, 1.858
-0.564, 1.118
-0.166, 0.332
0.233, -0.466
0.631, -1.246
1.022, -1.976
1.403, -2.628
1.770, -3.175
2.119, -3.595
2.447, -3.872
2.751, -3.994
3.027, -3.957
3.273, -3.763
3.486, -3.418
3.665, -2.938
3.806, -2.340
3.910, -1.648
3.975, -0.892
4.000, -0.099
3.985, 0.697
3.930, 1.466
3.836, 2.176
3.703, 2.799
3.534, 3.311
3.329, 3.691
3.091, 3.924
2.822, 4.000
2.525, 3.917
2.203, 3.677
1.858, 3.291
1.496, 2.774
1.118, 2.146
0.729, 1.433
0.332, 0.662
