0.100,0.000
0.200,0.000
0.300,0.000
0.400,0.000
0.500,0.000
0.600,0.000
0.700,0.000
0.800,0.000
0.900,0.000
1.000,0.000
1.100,0.000
1.200,0.000
1.300,0.000
1.400,0.000
1.500,0.000
1.600,0.000
1.700,0.000
1.800,0.000
1.900,0.000
2.000,0.000
2.100,0.000
2.200,0.000
2.300,0.000
2.400,0.000
2.500,0.000
2.600,0.000
2.700,0.000
2.800,0.000
2.900,0.000
3.000,0.000
3.100,0.000
3.200,0.000
3.300,0.000
3.400,0.000
3.464,0.000
3.514,0.002
3.563,0.010
3.612,0.022
3.659,0.039
3.704,0.061
3.746,0.087
3.786,0.118
3.823,0.152
3.856,0.189
3.885,0.230
3.910,0.273
3.930,0.319
3.946,0.366
3.957,0.415
3.963,0.465
3.964,0.515
3.959,0.571
3.882,0.964
3.767,1.347
3.613,1.716
3.424,2.068
3.200,2.400
2.945,2.707
2.660,2.987
2.348,3.238
2.013,3.456
1.658,3.640
1.287,3.787
0.902,3.897
0.508,3.968
0.110,3.998
-0.290,3.989
-0.687,3.941
-1.077,3.852
-1.456,3.726
-1.821,3.562
-2.167,3.362
-2.492,3.129
-2.792,2.865
-3.064,2.571
-3.305,2.253
-3.514,1.912
-3.687,1.551
-3.823,1.175
-3.922,0.788
-3.981,0.392
-4.000,-0.007
-3.979,-0.406
-3.919,-0.802
-3.819,-1.189
-3.682,-1.564
-3.507,-1.924
-3.297,-2.264
-3.055,-2.582
-2.782,-2.874
-2.481,-3.138
-2.155,-3.370
-1.808,-3.568
-1.443,-3.731
-1.063,-3.856
-0.673,-3.943
-0.276,-3.990
0.124,-3.998
0.522,-3.966
0.916,-3.894
1.300,-3.783
1.671,-3.634
2.025,-3.449
2.360,-3.230
2.670,-2.978
2.954,-2.697
3.209,-2.388
3.431,-2.056
3.619,-1.703
3.771,-1.333
3.886,-0.950
3.961,-0.558
3.997,-0.159
3.993,0.241
