0.500,0.000
1.000,0.000
1.500,0.000
2.000,0.000
2.000,0.000
2.514,0.091
2.966,0.353
3.301,0.754
3.478,1.245
3.476,1.767
3.295,2.257
3.200,2.400
2.805,2.851
2.348,3.238
1.838,3.553
1.286,3.788
0.705,3.937
0.109,3.999
-0.490,3.970
-1.077,3.852
-1.641,3.648
-2.168,3.362
-2.646,3.000
-3.064,2.571
-3.414,2.084
-3.687,1.551
-3.878,0.982
-3.981,0.392
-3.995,-0.208
-3.919,-0.802
-3.755,-1.379
-3.507,-1.924
-3.180,-2.427
-2.781,-2.875
-2.321,-3.258
-1.808,-3.568
-1.254,-3.798
-0.672,-3.943
-0.076,-3.999
0.523,-3.966
1.110,-3.843
1.672,-3.634
2.196,-3.343
2.671,-2.978
3.086,-2.545
3.431,-2.055
3.700,-1.520
3.886,-0.950
3.984,-0.358
3.993,0.241
3.912,0.835
3.743,1.410
3.490,1.954
